potential_mu_kcal_mol,replica,seed,induction_time_s,censored_at_s
-0.70,0,11586010233531586918,,600.0
-0.70,1,7435275229452103958,,600.0
-0.70,2,17377466536114428149,,600.0
-0.70,3,6199957159904866235,,600.0
-0.70,4,12032831652220777203,,600.0
-0.70,5,12824817159816449082,,600.0
-0.70,6,13127086010505558010,,600.0
-0.70,7,8614443013277031389,,600.0
-0.70,8,3349677325774699018,,600.0
-0.70,9,6739777678050942568,,600.0
-0.70,10,13292573669742727768,,600.0
-0.70,11,8344065747443815322,,600.0
-0.70,12,7490701265514071955,,600.0
-0.70,13,8195868551367103870,,600.0
-0.70,14,143160498584173569,,600.0
-0.70,15,13991331147305667756,,600.0
-0.70,16,8852702049133514447,,600.0
-0.70,17,9212052921636300388,,600.0
-0.70,18,402961943671700872,,600.0
-0.70,19,6986561947402773466,,600.0
-0.70,20,16005634800982363428,,600.0
-0.70,21,3103801612665070996,,600.0
-0.70,22,3967502247431635178,,600.0
-0.70,23,4878733458379586603,,600.0
-0.70,24,6374048190185089496,,600.0
-0.70,25,13912929966655383479,,600.0
-0.70,26,16086834953004871649,,600.0
-0.70,27,2478123085070656810,,600.0
-0.70,28,14635557844392384166,,600.0
-0.70,29,6080612373390493676,,600.0
-0.70,30,7285233852844147061,,600.0
-0.70,31,4284981539987200484,,600.0
-0.45,0,11586010233531586918,,600.0
-0.45,1,7435275229452103958,,600.0
-0.45,2,17377466536114428149,,600.0
-0.45,3,6199957159904866235,,600.0
-0.45,4,12032831652220777203,,600.0
-0.45,5,12824817159816449082,,600.0
-0.45,6,13127086010505558010,569.454261266,
-0.45,7,8614443013277031389,,600.0
-0.45,8,3349677325774699018,,600.0
-0.45,9,6739777678050942568,,600.0
-0.45,10,13292573669742727768,,600.0
-0.45,11,8344065747443815322,,600.0
-0.45,12,7490701265514071955,,600.0
-0.45,13,8195868551367103870,,600.0
-0.45,14,143160498584173569,,600.0
-0.45,15,13991331147305667756,,600.0
-0.45,16,8852702049133514447,,600.0
-0.45,17,9212052921636300388,,600.0
-0.45,18,402961943671700872,,600.0
-0.45,19,6986561947402773466,,600.0
-0.45,20,16005634800982363428,,600.0
-0.45,21,3103801612665070996,,600.0
-0.45,22,3967502247431635178,,600.0
-0.45,23,4878733458379586603,,600.0
-0.45,24,6374048190185089496,,600.0
-0.45,25,13912929966655383479,,600.0
-0.45,26,16086834953004871649,,600.0
-0.45,27,2478123085070656810,,600.0
-0.45,28,14635557844392384166,,600.0
-0.45,29,6080612373390493676,,600.0
-0.45,30,7285233852844147061,,600.0
