event,time_s,active_patches,largest_cluster,current_propensity,dissolution_events,repassivation_events
20,9.336289103,0,0,-0.000000000,0,0
40,17.981053219,0,0,-0.000000000,0,0
44,19.160922413,1,1,-0.000000000,0,0
60,25.334489615,0,0,-0.000000000,0,1
70,26.810323543,1,1,-0.000000000,0,1
79,29.975179667,2,1,-0.000000000,0,1
80,30.361308452,2,1,-0.000000000,0,1
100,35.946395683,2,1,0.091261336,0,1
101,35.966815145,3,1,0.091261336,0,1
112,37.027412762,4,1,0.182522671,0,1
118,37.488649313,4,1,0.091261336,0,2
120,37.836874713,4,1,0.091261336,0,2
129,39.491951604,5,1,0.182522671,0,2
140,40.790493816,4,1,0.091261336,1,3
141,41.043604028,5,1,0.091261336,1,3
160,43.625312554,5,1,0.091261336,2,3
178,46.669569451,5,1,0.091261336,2,4
180,46.856979035,5,1,0.091261336,2,4
183,47.204512328,6,1,0.091261336,2,4
200,50.561431201,4,1,0.091261336,2,6
220,53.185144912,1,1,-0.000000000,2,9
227,54.455498917,2,1,-0.000000000,2,9
238,57.000753001,3,1,-0.000000000,2,9
240,57.235839064,3,1,-0.000000000,2,9
248,58.712604988,4,1,-0.000000000,2,9
260,61.759951236,4,1,-0.000000000,2,9
264,62.397895469,5,2,-0.000000000,2,9
280,65.737470023,4,2,0.203013637,2,10
295,68.098194512,5,2,0.203013637,3,10
298,68.425063658,6,2,0.111752301,4,10
300,69.834114705,6,2,0.111752301,4,10
310,71.389759389,6,2,0.203013637,4,11
320,74.927313631,6,2,0.203013637,4,11
324,76.030782484,7,2,0.294274972,4,11
340,79.145351973,6,1,0.273784007,5,12
343,79.691040523,7,1,0.273784007,5,12
355,82.752955826,8,1,0.091261336,7,12
358,83.547339104,9,1,0.182522671,7,12
360,83.754423385,9,1,0.182522671,7,12
380,87.674593107,9,1,0.273784007,9,12
386,88.902060292,9,1,0.365045343,9,13
390,89.379785004,10,1,0.273784007,10,13
400,90.660465529,9,1,0.182522671,12,14
416,93.744253230,8,1,0.182522671,12,16
419,94.342853582,9,1,0.182522671,12,16
420,94.415643733,9,1,0.182522671,12,16
429,96.060247708,9,1,0.182522671,12,17
433,96.804392056,10,3,0.182522671,13,17
439,97.765907851,11,3,0.182522671,13,17
440,97.774785425,12,3,0.182522671,13,17
442,98.149610757,13,3,0.273784007,13,17
448,98.672813216,14,3,0.273784007,13,17
460,100.710399371,12,3,0.294274972,13,19
480,102.873204324,12,3,0.406027273,14,19
491,104.170599097,13,3,0.294274972,16,19
494,104.336822474,14,3,0.294274972,16,19
499,104.621903690,15,3,0.182522671,17,19
500,104.766535767,15,3,0.182522671,17,19
502,104.887471684,16,3,0.182522671,17,19
511,106.728304293,16,3,0.365045343,17,20
520,107.637302161,13,3,0.365045343,17,23
532,109.478080646,13,3,0.365045343,18,24
538,110.042154990,13,3,0.365045343,18,25
539,110.072081788,14,3,0.365045343,18,25
540,110.160667484,15,3,0.365045343,18,25
547,111.889005166,16,3,0.476797644,19,25
550,112.781427976,17,3,0.476797644,19,25
557,113.955822560,17,3,0.476797644,19,26
559,113.990628942,18,3,0.476797644,19,26
560,114.032696209,18,3,0.476797644,19,26
564,114.654565842,18,3,0.476797644,19,27
572,115.641394683,18,3,0.476797644,21,28
578,116.726335996,19,3,0.476797644,21,28
580,116.827648135,19,3,0.476797644,21,28
593,119.013763405,20,3,0.476797644,24,28
600,120.145455449,18,3,0.750581651,24,30
604,120.396016749,19,3,0.750581651,24,30
605,120.489522076,20,4,0.750581651,24,30
620,123.554189210,19,4,0.638829350,26,32
621,123.594879425,20,4,0.638829350,26,32
