potential_mu_kcal_mol,replica,seed,pit_index,final_cluster_size_patches,total_dissolution_depth_events,max_dissolution_depth_events,mean_dissolution_depth_events,replica_nn_pair_ratio
-0.20,0,11586010233531586918,0,2,3,3,1.500000000,2.178030303
-0.20,0,11586010233531586918,1,1,0,0,0.000000000,2.178030303
-0.20,0,11586010233531586918,2,1,1,1,1.000000000,2.178030303
-0.20,0,11586010233531586918,3,1,1,1,1.000000000,2.178030303
-0.20,0,11586010233531586918,4,1,0,0,0.000000000,2.178030303
-0.20,0,11586010233531586918,5,1,1,1,1.000000000,2.178030303
-0.20,0,11586010233531586918,6,1,2,2,2.000000000,2.178030303
-0.20,0,11586010233531586918,7,1,0,0,0.000000000,2.178030303
-0.20,0,11586010233531586918,8,1,0,0,0.000000000,2.178030303
-0.20,0,11586010233531586918,9,1,0,0,0.000000000,2.178030303
-0.20,0,11586010233531586918,10,1,0,0,0.000000000,2.178030303
-0.20,1,7435275229452103958,0,1,1,1,1.000000000,0.000000000
-0.20,1,7435275229452103958,1,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,2,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,3,1,1,1,1.000000000,0.000000000
-0.20,1,7435275229452103958,4,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,5,1,1,1,1.000000000,0.000000000
-0.20,1,7435275229452103958,6,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,7,1,1,1,1.000000000,0.000000000
-0.20,1,7435275229452103958,8,1,2,2,2.000000000,0.000000000
-0.20,1,7435275229452103958,9,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,10,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,11,1,0,0,0.000000000,0.000000000
-0.20,1,7435275229452103958,12,1,2,2,2.000000000,0.000000000
-0.20,2,17377466536114428149,0,2,2,2,1.000000000,1.197916667
-0.20,2,17377466536114428149,1,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,2,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,3,1,1,1,1.000000000,1.197916667
-0.20,2,17377466536114428149,4,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,5,1,1,1,1.000000000,1.197916667
-0.20,2,17377466536114428149,6,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,7,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,8,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,9,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,10,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,11,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,12,1,0,0,0.000000000,1.197916667
-0.20,2,17377466536114428149,13,1,1,1,1.000000000,1.197916667
-0.20,2,17377466536114428149,14,1,2,2,2.000000000,1.197916667
-0.20,3,6199957159904866235,0,1,2,2,2.000000000,0.000000000
-0.20,3,6199957159904866235,1,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,2,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,3,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,4,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,5,1,1,1,1.000000000,0.000000000
-0.20,3,6199957159904866235,6,1,1,1,1.000000000,0.000000000
-0.20,3,6199957159904866235,7,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,8,1,0,0,0.000000000,0.000000000
-0.20,3,6199957159904866235,9,1,0,0,0.000000000,0.000000000
-0.20,4,12032831652220777203,0,1,0,0,0.000000000,5.133928571
-0.20,4,12032831652220777203,1,1,1,1,1.000000000,5.133928571
-0.20,4,12032831652220777203,2,1,0,0,0.000000000,5.133928571
-0.20,4,12032831652220777203,3,1,1,1,1.000000000,5.133928571
-0.20,4,12032831652220777203,4,2,2,2,1.000000000,5.133928571
-0.20,4,12032831652220777203,5,1,0,0,0.000000000,5.133928571
-0.20,4,12032831652220777203,6,1,0,0,0.000000000,5.133928571
-0.20,5,12824817159816449082,0,1,0,0,0.000000000,0.000000000
-0.20,5,12824817159816449082,1,1,0,0,0.000000000,0.000000000
-0.20,5,12824817159816449082,2,1,1,1,1.000000000,0.000000000
-0.20,5,12824817159816449082,3,1,3,3,3.000000000,0.000000000
-0.20,5,12824817159816449082,4,1,0,0,0.000000000,0.000000000
-0.20,5,12824817159816449082,5,1,0,0,0.000000000,0.000000000
-0.20,5,12824817159816449082,6,1,0,0,0.000000000,0.000000000
-0.20,5,12824817159816449082,7,1,0,0,0.000000000,0.000000000
-0.20,6,13127086010505558010,0,1,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,1,1,1,1,1.000000000,1.842948718
-0.20,6,13127086010505558010,2,1,1,1,1.000000000,1.842948718
-0.20,6,13127086010505558010,3,1,1,1,1.000000000,1.842948718
-0.20,6,13127086010505558010,4,1,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,5,1,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,6,1,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,7,1,1,1,1.000000000,1.842948718
-0.20,6,13127086010505558010,8,2,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,9,1,0,0,0.000000000,1.842948718
-0.20,6,13127086010505558010,10,1,2,2,2.000000000,1.842948718
-0.20,6,13127086010505558010,11,1,0,0,0.000000000,1.842948718
-0.20,7,8614443013277031389,0,1,1,1,1.000000000,7.986111111
-0.20,7,8614443013277031389,1,1,1,1,1.000000000,7.986111111
-0.20,7,8614443013277031389,2,3,3,2,1.000000000,7.986111111
-0.20,7,8614443013277031389,3,1,1,1,1.000000000,7.986111111
-0.20,7,8614443013277031389,4,1,0,0,0.000000000,7.986111111
-0.20,7,8614443013277031389,5,1,0,0,0.000000000,7.986111111
-0.20,7,8614443013277031389,6,1,0,0,0.000000000,7.986111111
