potential_mu_kcal_mol,replicas,initiated,initiation_fraction,weibull_shape_mle,weibull_shape_ci95_low,weibull_shape_ci95_high,weibull_scale_s_mle,weibull_scale_ci95_low_s,weibull_scale_ci95_high_s,weibull_ks_distance,weibull_log_likelihood,weibull_aic,bootstrap_successful_resamples,nucleation_rate_per_patch_s,mean_final_active,active_fraction_susceptibility,mean_pit_count,mean_pit_density,mean_largest_cluster,p95_largest_cluster,mean_nn_pair_ratio,nn_pair_ratio_defined_replicas,mean_dissolution_events,mean_repassivation_events
-0.20,256,12,0.046875000,3.329764702,2.343152388,5.647021580,1492.777198931,1021.703432618,2421.284974246,0.010139886,-119.246793467,242.493586933,2000,0.000000137203,11.597656250,0.024084685,10.015625000,0.017388237847,2.000000000,4.000000000,3.204525045,255,60.726562500,153.679687500
-0.05,256,33,0.128906250,2.630764723,1.901894804,3.818433110,1273.974140057,997.213882209,1833.372033043,0.014417132,-298.717493498,601.434986996,2000,0.000000387062,15.125000000,0.032529956,12.597656250,0.021870930990,2.300781250,4.000000000,2.947996267,256,116.464843750,208.730468750
0.05,256,75,0.292968750,2.336174297,1.951551373,2.862264916,942.478939036,835.039824907,1097.519569350,0.017918515,-617.015170229,1238.030340459,2000,0.000000937997,17.964843750,0.043237225,14.601562500,0.025349934896,2.621093750,4.000000000,3.073225548,256,180.554687500,255.738281250
0.15,256,111,0.433593750,1.864201239,1.658397061,2.123781471,799.573905939,719.609966028,909.874559224,0.054620977,-871.233600184,1746.467200368,2000,0.000001535099,21.859375000,0.044886557,17.343750000,0.030110677083,2.886718750,5.000000000,2.758648819,256,263.375000000,306.261718750
0.25,256,169,0.660156250,1.897323589,1.743888952,2.082911727,553.898008899,512.406959829,607.494397430,0.090157914,-1222.704739172,2449.409478343,2000,0.000002754858,25.339843750,0.057267386,19.687500000,0.034179687500,3.101562500,5.000000000,2.532665028,256,394.238281250,365.601562500
0.35,256,239,0.933593750,1.979130064,1.835069951,2.149861871,344.822381805,321.486101334,367.177589464,0.068785248,-1551.508421397,3107.016842793,2000,0.000005437791,29.929687500,0.068006089,21.984375000,0.038167317708,3.535156250,6.000000000,2.597002403,256,584.414062500,435.500000000
0.45,256,252,0.984375000,2.155267091,1.965898886,2.406061872,252.334420182,237.483474936,269.037978447,0.080200204,-1525.852030015,3055.704060030,2000,0.000007699801,35.097656250,0.085039206,24.781250000,0.043023003472,4.101562500,6.000000000,2.486597031,256,863.218750000,517.281250000
0.55,256,255,0.996093750,2.079343851,1.885434743,2.339555260,197.450828116,184.529795844,210.415877015,0.110790867,-1481.141997226,2966.283994452,2000,0.000009937729,41.906250000,0.099780433,28.425781250,0.049350314670,4.656250000,8.000000000,2.274384432,256,1239.214843750,603.550781250
0.65,256,256,1.000000000,2.759731671,2.450496019,3.265083115,137.849769428,131.462215328,144.406418048,0.116285393,-1334.390379369,2672.780758739,2000,0.000014104984,48.648437500,0.108540028,31.199218750,0.054165310330,5.246093750,8.000000000,2.202785836,256,1795.039062500,702.199218750
0.75,256,256,1.000000000,3.763337673,3.488312555,4.118887750,103.553296985,99.952815495,106.996311286,0.060282144,-1203.644265075,2411.288530149,2000,0.000018533726,56.402343750,0.131955056,33.683593750,0.058478461372,6.175781250,10.000000000,2.149179807,256,2588.253906250,817.105468750
0.85,256,256,1.000000000,3.934283261,3.601343872,4.380420108,88.650729800,85.821508204,91.551536378,0.080108957,-1150.062605461,2304.125210923,2000,0.000021544898,67.042968750,0.180790627,37.496093750,0.065097384983,7.054687500,12.000000000,1.986432826,256,3665.671875000,933.285156250
