temperature_k,mean_efficiency,ci95_low,ci95_high,replicas,arrivals_per_replica
6.0,0.310417,0.291110,0.329723,16,300
8.0,0.859167,0.850331,0.868003,16,300
10.0,0.940833,0.935005,0.946662,16,300
12.0,0.961667,0.957449,0.965884,16,300
14.0,0.960000,0.954666,0.965334,16,300
16.0,0.915833,0.909650,0.922017,16,300
18.0,0.805833,0.792451,0.819216,16,300
20.0,0.558750,0.534650,0.582850,16,300
22.0,0.308333,0.291485,0.325181,16,300
24.0,0.148333,0.133651,0.163015,16,300
26.0,0.054583,0.043316,0.065850,16,300
