mechanism,temperature_k,barrier_kcal_mol,offset_kcal_mol,rate_multiplier,provenance
extended-zone-hop,773.15,35.0,-5.0,25.902670577555636,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,773.15,40.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,773.15,45.0,5.0,0.03860605789684437,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,823.15,35.0,-5.0,21.256648239823004,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,823.15,40.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,823.15,45.0,5.0,0.04704410538847618,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,873.15,35.0,-5.0,17.843383842859694,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,873.15,40.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,873.15,45.0,5.0,0.05604318154037612,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,923.15,35.0,-5.0,15.264909535187668,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,923.15,40.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,923.15,45.0,5.0,0.0655097233098477,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,973.15,35.0,-5.0,13.270172514227054,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,973.15,40.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
extended-zone-hop,973.15,45.0,5.0,0.07535697059913067,proxy ±5 kcal/mol; not computed kinetics
delamination,773.15,53.0,-5.0,25.902670577555636,proxy ±5 kcal/mol; not computed kinetics
delamination,773.15,58.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
delamination,773.15,63.0,5.0,0.03860605789684437,proxy ±5 kcal/mol; not computed kinetics
delamination,823.15,53.0,-5.0,21.256648239823004,proxy ±5 kcal/mol; not computed kinetics
delamination,823.15,58.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
delamination,823.15,63.0,5.0,0.04704410538847618,proxy ±5 kcal/mol; not computed kinetics
delamination,873.15,53.0,-5.0,17.843383842859694,proxy ±5 kcal/mol; not computed kinetics
delamination,873.15,58.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
delamination,873.15,63.0,5.0,0.05604318154037612,proxy ±5 kcal/mol; not computed kinetics
delamination,923.15,53.0,-5.0,15.264909535187668,proxy ±5 kcal/mol; not computed kinetics
delamination,923.15,58.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
delamination,923.15,63.0,5.0,0.0655097233098477,proxy ±5 kcal/mol; not computed kinetics
delamination,973.15,53.0,-5.0,13.270172514227054,proxy ±5 kcal/mol; not computed kinetics
delamination,973.15,58.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
delamination,973.15,63.0,5.0,0.07535697059913067,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,773.15,59.0,-5.0,25.902670577555636,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,773.15,64.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,773.15,69.0,5.0,0.03860605789684437,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,823.15,59.0,-5.0,21.256648239823004,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,823.15,64.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,823.15,69.0,5.0,0.04704410538847618,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,873.15,59.0,-5.0,17.843383842859694,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,873.15,64.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,873.15,69.0,5.0,0.05604318154037612,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,923.15,59.0,-5.0,15.264909535187668,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,923.15,64.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,923.15,69.0,5.0,0.0655097233098477,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,973.15,59.0,-5.0,13.270172514227054,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,973.15,64.0,0.0,1.0,proxy ±5 kcal/mol; not computed kinetics
octahedral-Ar39-escape,973.15,69.0,5.0,0.07535697059913067,proxy ±5 kcal/mol; not computed kinetics
