barrier_label,barrier_kcal_mol,dims,sites,replicas,segment,temperature_c,duration_s,released_ar40_mean,released_ar40_ci95_low,released_ar40_ci95_high,released_ar39_mean,released_ar36_mean,cumulative_ar40_fraction_mean,cumulative_ar39_fraction_mean,ar39_fraction_start,apparent_age_ma_mean,apparent_age_ma_ci95_low,apparent_age_ma_ci95_high,apparent_age_defined_replicas,ar36_ar40_mean
low,53.0,4x4x6,768,8,1,500.0,600.0,0.875,0.25,1.5,1.0,0.375,0.06733630952380952,0.028826391133446,0.0,10.735326772270536,0.0,25.025514249217828,5,0.125
low,53.0,4x4x6,768,8,2,550.0,600.0,1.875,1.25,2.625,1.375,0.0,0.20995750572956456,0.06728378172915724,0.028826391133446,28.914726926089397,10.484546613022042,48.008946044002506,6,0.0
low,53.0,4x4x6,768,8,3,600.0,600.0,0.25,0.0,0.75,7.25,0.0,0.2278146485867074,0.2618302307003576,0.06728378172915724,0.5630705842024172,0.0,1.6892117526072514,8,0.0
low,53.0,4x4x6,768,8,4,650.0,600.0,0.25,0.0,0.625,7.125,0.125,0.24455572001527884,0.45838505328097423,0.2618302307003576,0.6554845297878195,0.0,1.7208003495891924,8,0.0
low,53.0,4x4x6,768,8,5,700.0,600.0,1.5,0.75,2.25,5.0,0.625,0.35139538770053474,0.5955422695670309,0.45838505328097423,6.614883683621722,2.9916567765518303,10.78431349473586,8,0.13888888888888887
low,53.0,4x4x6,768,8,6,750.0,600.0,0.125,0.0,0.375,0.875,0.0,0.35920788770053474,0.6208751911157232,0.5955422695670309,3.5902330337968906,0.0,10.770699101390672,5,0.0
low,53.0,4x4x6,768,8,7,800.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
low,53.0,4x4x6,768,8,8,850.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
low,53.0,4x4x6,768,8,9,900.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
low,53.0,4x4x6,768,8,10,950.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
low,53.0,4x4x6,768,8,11,1000.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
low,53.0,4x4x6,768,8,12,1050.0,600.0,0.0,0.0,0.0,0.0,0.0,0.35920788770053474,0.6208751911157232,0.6208751911157232,,,,0,
