barrier_label,barrier_kcal_mol,dims,sites,replicas,segment,temperature_c,duration_s,released_ar40_mean,released_ar40_ci95_low,released_ar40_ci95_high,released_ar39_mean,released_ar36_mean,cumulative_ar40_fraction_mean,cumulative_ar39_fraction_mean,ar39_fraction_start,apparent_age_ma_mean,apparent_age_ma_ci95_low,apparent_age_ma_ci95_high,apparent_age_defined_replicas,ar36_ar40_mean
low,53.0,4x4x6,768,8,1,500.0,600.0,8.25,7.25,9.125,2.0,1.75,0.6767690030557678,0.05379407322525613,0.0,79.07283193278025,55.72566895619017,105.7669576221385,7,0.23124999999999998
low,53.0,4x4x6,768,8,2,550.0,600.0,4.0,2.0,6.0,5.375,0.875,0.9614304812834225,0.20465710475883386,0.05379407322525613,13.823478168683312,6.337337093190911,23.821787812571795,8,0.3
low,53.0,4x4x6,768,8,3,600.0,600.0,0.5,0.125,1.0,19.875,0.0,1.0,0.7480945871965884,0.20465710475883386,0.6071910700908515,0.0,1.4436557473763658,8,0.0
low,53.0,4x4x6,768,8,4,650.0,600.0,0.0,0.0,0.0,8.875,0.0,1.0,0.9931633407243163,0.7480945871965884,0.0,0.0,0.0,8,
low,53.0,4x4x6,768,8,5,700.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,6,750.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,7,800.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,8,850.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,9,900.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,10,950.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,11,1000.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,12,1050.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,13,1100.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,14,1150.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,4x4x6,768,8,15,1200.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9931633407243163,0.9931633407243163,,,,0,
low,53.0,8x8x6,3072,8,1,500.0,600.0,27.5,25.5,29.5,12.375,5.375,0.5753909372105992,0.08125504014984554,0.0,44.617177449817234,33.31800990236813,57.02687526528925,8,0.19996980676328502
low,53.0,8x8x6,3072,8,2,550.0,600.0,18.75,17.375,20.125,19.375,3.375,0.9681842282311243,0.20953996829065574,0.08125504014984554,17.95085660001705,15.795532727910004,20.327823855915156,8,0.1808729921394395
low,53.0,8x8x6,3072,8,3,600.0,600.0,1.5,0.75,2.125,78.25,0.25,1.0,0.7290063224865058,0.20953996829065574,0.3522152940752662,0.1911293845046515,0.5090539805548444,8,0.08333333333333333
low,53.0,8x8x6,3072,8,4,650.0,600.0,0.0,0.0,0.0,40.125,0.0,1.0,0.9957471264367816,0.7290063224865058,0.0,0.0,0.0,8,
low,53.0,8x8x6,3072,8,5,700.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,6,750.0,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,7,800.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,8,850.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,9,900.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,10,950.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
low,53.0,8x8x6,3072,8,11,1000.0000000000001,600.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957471264367816,0.9957471264367816,,,,0,
