step,time,terrace,defect,empty,total_rate,spectrum_mean,spectrum_log10_std,geometric_area,bet_proxy,exposed_sites,mean_exposure_age,p95_exposure_age
0.0,0.0,543.0,33.0,0.0,330.0,10.0,0.0,6629.904,288.0,288.0,0.0,0.0
10.0,0.02037795773,543.0,23.0,10.0,230.4,3.657142857142857,1.4443572274383907,6629.904,288.0,288.0,0.01997499547591146,0.02037795773
20.0,0.07855656035,543.0,13.0,20.0,130.73,1.5201162790697673,1.074622451215072,6629.904,288.0,288.0,0.07631845968382986,0.07855656035
30.0,0.2644647144,543.0,3.0,30.0,30.96,0.31272727272727274,0.51425947722658,6629.904,288.0,288.0,0.2575618328948611,0.2644647144
40.0,5.229028934,536.0,0.0,40.0,1.15,0.010000000000000002,0.0,6629.904,292.0,292.0,5.144116469393835,5.229028934
50.0,12.85347133,526.0,0.0,50.0,1.3,0.01,0.0,6629.904,300.0,300.0,12.33268644897,12.85347133
60.0,17.050578,516.0,0.0,60.0,1.42,0.01,0.0,6629.904,308.0,308.0,15.635637041135228,17.050578
70.0,25.1914611,506.0,0.0,70.0,1.54,0.01,0.0,6629.904,314.0,314.0,22.78461202658981,25.1914611
80.0,30.62430893,496.0,0.0,80.0,1.62,0.01,0.0,6629.904,318.0,318.0,27.27498315487642,30.62430893
90.0,37.99167156,486.0,0.0,90.0,1.68,0.01,0.0,6629.904,320.0,320.0,33.67933707816563,37.99167156
100.0,44.11302442,476.0,0.0,100.0,1.78,0.01,0.0,6629.904,326.0,326.0,38.15424882902454,44.11302442
110.0,49.06989666,466.0,0.0,110.0,1.88,0.01,0.0,6629.904,331.0,331.0,41.493646543941686,49.06989666
120.0,53.83144884,456.0,0.0,120.0,1.97,0.01,0.0,6629.904,337.0,337.0,44.61741792896142,53.83144884
130.0,58.1447142,446.0,0.0,130.0,2.07,0.009999999999999998,0.0,6629.904,343.0,343.0,46.834653727790844,58.1447142
140.0,63.36877076,436.0,0.0,140.0,2.17,0.01,0.0,6629.904,348.0,348.0,50.16386564438419,63.36877076
150.0,67.39676072,426.0,0.0,150.0,2.19,0.01,0.0,6629.904,346.0,346.0,52.906839991605494,67.39676072
160.0,73.11751339,416.0,0.0,160.0,2.24,0.01,0.0,6629.904,346.0,346.0,57.645688806056064,73.11751339
170.0,79.890613,406.0,0.0,170.0,2.18,0.01,0.0,6629.904,339.0,339.0,64.18551533712979,79.890613
180.0,82.44368797,396.0,0.0,180.0,2.24,0.01,0.0,6537.822,341.0,341.0,64.90926222373987,82.44368797
190.0,85.19005561,386.0,0.0,190.0,2.29,0.01,0.0,6491.781,338.0,338.0,66.6911498479639,85.19005561
200.0,88.83229708,376.0,0.0,200.0,2.32,0.009999999999999998,0.0,6491.781,334.0,334.0,69.8264320785506,88.83229708
210.0,93.47146736,366.0,0.0,210.0,2.33,0.01,0.0,6491.781,330.0,330.0,73.38730832591399,93.47146736
220.0,97.80302497,356.0,0.0,220.0,2.36,0.01,0.0,6491.781,327.0,327.0,76.48499773689052,97.80302497
230.0,104.1186701,346.0,0.0,230.0,2.41,0.01,0.0,6491.781,327.0,327.0,81.39013872774875,104.1186701
240.0,110.0496836,336.0,0.0,240.0,2.42,0.01,0.0,6445.74,318.0,318.0,87.05827278433019,110.0496836
250.0,115.4295352,326.0,0.0,250.0,2.47,0.01,0.0,6307.617,313.0,313.0,91.70064409980895,115.4295352
260.0,118.7516754,316.0,0.0,260.0,2.45,0.01,0.0,6215.535,303.0,303.0,94.66930807752145,118.7516754
270.0,124.6018844,306.0,0.0,270.0,2.46,0.01,0.0,6215.535,295.0,295.0,100.24072577141357,124.6018844
280.0,128.4700063,296.0,0.0,280.0,2.41,0.01,0.0,6169.494,285.0,285.0,104.25461471598948,128.4700063
290.0,132.1486475,286.0,0.0,290.0,2.39,0.01,0.0,6077.412,277.0,277.0,107.2185243664296,132.1486475
300.0,136.7124081,276.0,0.0,300.0,2.34,0.01,0.0,5985.33,268.0,268.0,110.93205294695896,136.7124081
310.0,139.6380995,266.0,0.0,310.0,2.3,0.010000000000000002,0.0,5939.289,261.0,261.0,112.94984974282683,139.6380995
320.0,145.351405,256.0,0.0,320.0,2.24,0.01,0.0,5801.166,251.0,251.0,118.74362538949003,145.351405
330.0,148.5028534,246.0,0.0,330.0,2.19,0.01,0.0,5755.125,241.0,241.0,121.8979024475809,148.5028534
340.0,152.8587885,236.0,0.0,340.0,2.15,0.01,0.0,5570.961,231.0,231.0,125.60449524060606,152.8587885
350.0,156.8942286,226.0,0.0,350.0,2.05,0.009999999999999998,0.0,5478.879,221.0,221.0,128.9284901918552,156.8942286
360.0,163.7642134,216.0,0.0,360.0,2.02,0.01,0.0,5478.879,213.0,213.0,134.7314671140704,163.7642134
