defect_density,step,replicas,time_mean,time_ci95_low,time_ci95_high,defects_mean,defects_ci95_low,defects_ci95_high,total_rate_mean,total_rate_ci95_low,total_rate_ci95_high,rate_log10_mean_mean,rate_log10_mean_ci95_low,rate_log10_mean_ci95_high,rate_log10_width_mean,rate_log10_width_ci95_low,rate_log10_width_ci95_high,exposure_age_mean_mean,exposure_age_mean_ci95_low,exposure_age_mean_ci95_high,exposure_age_p95_mean,exposure_age_p95_ci95_low,exposure_age_p95_ci95_high,geometric_area_mean,geometric_area_ci95_low,geometric_area_ci95_high,bet_proxy_mean,bet_proxy_ci95_low,bet_proxy_ci95_high
0.05,0,64,0.0,0.0,0.0,7.640625,6.96875,8.328125,76.40625,69.53125,83.4375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6629.904,6629.904,6629.904,288.0,288.0,288.0
0.05,10,64,9.648248097434687,7.135786200313437,12.35620733822078,0.421875,0.1875,0.703125,4.62359375,2.2746875,7.4328125,-1.9725954466096405,-1.9883019261561008,-1.9539357318530322,0.11578964408067342,0.06021901641152832,0.18139899226122835,9.449117821951722,7.065518413699121,12.114906819668997,9.648248097434687,7.285389269179219,12.316732149691875,6629.904,6629.904,6629.904,290.875,290.015625,291.859375
0.05,20,64,28.55205977275,25.284929436375,32.02916727140625,0.0,0.0,0.0,0.63296875,0.6175,0.64890625,-2.0,-2.0,-2.0,0.0,0.0,0.0,27.23643686787378,24.224062230172954,30.45139181368095,28.55205977275,25.384253949125,31.91073685440625,6628.4652187500005,6626.307046875,6629.904,298.765625,297.03125,300.609375
0.05,30,64,42.24766639921875,38.73330680671875,46.044515208281254,0.0,0.0,0.0,0.82421875,0.80328125,0.8446875,-2.0,-2.0,-2.0,0.0,0.0,0.0,39.129676602000664,35.83206817483925,42.46679070910925,42.24766639921875,38.48925329953125,46.15794367203125,6626.307046875,6623.429484375,6629.184609375,307.234375,305.265625,309.203125
0.05,40,64,52.501004015625,48.63408239359375,56.5396413046875,0.0,0.0,0.0,0.99640625,0.97171875,1.02015625,-2.0,-2.0,-2.0,0.0,0.0,0.0,47.291815513990116,43.937696728260526,51.06184851518095,52.501004015625,48.594851998125,56.5869754134375,6623.429484375,6619.113140625001,6627.026437500001,314.5625,312.4375,316.8125
0.05,50,64,62.07984786359375,57.86360502703125,66.42655792453125,0.0,0.0,0.0,1.1509375,1.12515625,1.17765625,-2.0,-2.0,-2.0,0.0,0.0,0.0,54.68321096305736,51.01957740659325,58.424554110103365,62.07984786359375,57.92624289828125,66.78298978609375,6619.83253125,6614.796796875001,6624.868265625,320.640625,318.609375,322.828125
0.05,60,64,69.78437701859374,65.39937171125,74.058448686875,0.0,0.0,0.0,1.2940625,1.26671875,1.3215625,-2.0,-2.0,-2.0,0.0,0.0,0.0,60.15567864787877,56.49529138537788,64.07143948495573,69.78437701859374,65.60651385125,74.40346555578125,6611.919234375,6605.44471875,6617.674359375001,325.984375,323.953125,328.1875
0.05,70,64,77.2429902925,72.9526858525,81.70914873671875,0.0,0.0,0.0,1.42875,1.39984375,1.45921875,-2.0,-2.0,-2.0,0.0,0.0,0.0,65.26654712146828,61.40713212632883,69.06103725930004,77.2429902925,72.77359264609375,81.70561198359376,6604.0059375,6596.092640625,6611.199843750001,331.203125,328.984375,333.34375
0.05,80,64,84.30591108265625,79.82606929828125,89.08150267875,0.0,0.0,0.0,1.55640625,1.52421875,1.58796875,-2.0,-2.0,-2.0,0.0,0.0,0.0,70.01599729037758,66.39923436690371,73.8775074208572,84.30591108265625,80.0471206378125,89.05378296531251,6592.495687500001,6581.704828125,6601.847765625001,335.421875,333.078125,337.859375
0.05,90,64,90.79760032484376,86.1564498959375,95.364668108125,0.0,0.0,0.0,1.66453125,1.629375,1.6965625,-2.0,-2.0,-2.0,0.0,0.0,0.0,74.3938313024739,70.69247456873941,78.33646519709633,90.79760032484376,86.17011232343751,95.8260496753125,6574.510921875,6562.281281250001,6586.7405625,337.390625,334.6875,339.859375
