scenario,species,rate_basis,status,mean_mol_m2_s,ci95_low_mol_m2_s,ci95_high_mol_m2_s,poisson_zero_upper_95_mol_m2_s,log10_mean_mol_m2_s
nominal,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
nominal,si,net,estimated,-2.4835364510241016e-10,-3.704406983270919e-10,-1.257349512561041e-10,undefined,undefined
nominal,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-21,2.409115130466844e-21,9.622879262653298e-21,undefined,-20.21978333801564
nominal,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
nominal,al,net,estimated,0.0,0.0,0.0,undefined,undefined
nominal,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.554478540625865e-11,undefined
siloxane-neutral__ea-minus-3,si,net,estimated,-1.8657843507257543e-10,-3.3621209775761404e-10,-5.979240961485561e-11,undefined,undefined
siloxane-neutral__ea-minus-3,si,expected_gross_from_propensity,estimated-positive,2.3439786247749578e-21,9.83846100592429e-22,3.654208144739548e-21,undefined,-20.63004635305694
siloxane-neutral__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.554478540625865e-11,undefined
siloxane-neutral__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485379551202932e-11,undefined
siloxane-neutral__ea-plus-3,si,net,estimated,-2.483529488111385e-10,-3.6880763719144205e-10,-1.261384721285893e-10,undefined,undefined
siloxane-neutral__ea-plus-3,si,expected_gross_from_propensity,estimated-positive,6.0286060810756565e-21,2.4212088480848696e-21,9.405094869425871e-21,undefined,-20.21978309271522
siloxane-neutral__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485379551202932e-11,undefined
siloxane-neutral__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485381584059503e-11,undefined
siloxane-neutral__prefactor-x0.1,si,net,estimated,-2.4835301448116344e-10,-3.711804890901749e-10,-1.2371515746372836e-10,undefined,undefined
siloxane-neutral__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,6.028605758432273e-21,2.5721237756835593e-21,9.47446053322318e-21,undefined,-20.21978311595811
siloxane-neutral__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485381584059503e-11,undefined
siloxane-neutral__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
siloxane-neutral__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.353048085740005e-11,undefined
