scenario,replica,seed,step,time_s,Si_total,Si_oh0,Si_oh1,Si_oh2,Si_oh3,Si_oh4,Al_total,Al_l0,Al_l1,Al_l2,Al_l3,Al_l4,Al_l5,Al_l6
nominal,0,90401,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,10000,719.6335,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,20000,1419.294,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,30000,2148.956,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,40000,2858.235,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,50000,3564.911,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,60000,4285.759,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,70000,5013.511,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,80000,5741.425,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,90000,6450.167,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,100000,7170.886,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,110000,7906.553,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,120000,8612.034,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,130000,9331.344,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,140000,10057.18,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,150000,10783.66,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,160000,11498.61,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,170000,12201.08,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,180000,12917.14,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,190000,13619.94,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,0,90401,200000,14346.99,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,10000,713.0751,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,20000,1434.228,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,30000,2151.949,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,40000,2863.553,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,50000,3577.761,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,60000,4319.467,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,70000,5038.922,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,80000,5748.868,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,90000,6478.487,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,100000,7194.041,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,110000,7925.323,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,120000,8628.474,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,130000,9344.79,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,140000,10054.56,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,150000,10770.18,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,160000,11493.29,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,170000,12209.55,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,180000,12930.13,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,190000,13659.87,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,1,90403,200000,14354.83,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,10000,717.1878,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,20000,1427.508,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,30000,2147.506,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,40000,2855.875,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,50000,3574.046,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,60000,4293.515,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,70000,4999.323,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,80000,5719.001,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,90000,6416.262,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,100000,7139.011,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,110000,7850.543,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,120000,8570.787,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,130000,9285.729,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,140000,9998.836,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,150000,10717.15,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,160000,11430.66,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,170000,12148.12,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,180000,12874.87,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,190000,13580.15,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,2,90407,200000,14320.72,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,10000,736.8137,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,20000,1453.704,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,30000,2170.029,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,40000,2892.078,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,50000,3613.996,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,60000,4351.341,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,70000,5075.142,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,80000,5786.402,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,90000,6511.194,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,100000,7237.468,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,110000,7955.572,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,120000,8675.593,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,130000,9397.928,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,140000,10109.84,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,150000,10830.96,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,160000,11564.31,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,170000,12282.14,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,180000,13017.37,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,190000,13738.86,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,3,90409,200000,14454.38,160,120,40,0,0,0,160,138,2,18,2,0,0,0
nominal,4,90413,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,10000,726.2964,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,20000,1442.008,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,30000,2163.873,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,40000,2876.365,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,50000,3593.318,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,60000,4312.949,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,70000,5026.708,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,80000,5760.999,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,90000,6487.288,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,100000,7206.173,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,110000,7919.008,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,120000,8643.587,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,130000,9342.635,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,140000,10067.02,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,150000,10782.66,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,160000,11490.99,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,170000,12205.03,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,180000,12889.48,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,190000,13616.6,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,4,90413,200000,14316.3,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,0,0.0,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,10000,721.3019,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,20000,1419.061,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,30000,2149.085,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,40000,2864.943,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,50000,3568.646,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,60000,4304.003,160,120,40,0,0,0,160,140,0,20,0,0,0,0
nominal,5,90419,70000,5018.862,160,120,40,0,0,0,160,140,0,20,0,0,0,0
