scenario,status,si_al_lattice_release_ratio_dimensionless_mean,si_al_lattice_release_ratio_dimensionless_ci95_low,si_al_lattice_release_ratio_dimensionless_ci95_high,lattice_si_release_events,lattice_al_release_events
nominal,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
siloxane-neutral__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
siloxane-neutral__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
siloxane-neutral__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
siloxane-neutral__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-si-neutral__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-si-neutral__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-si-neutral__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-si-neutral__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-al-neutral__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-al-neutral__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-al-neutral__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
sioal-al-neutral__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
connectivity-ladder__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
connectivity-ladder__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
connectivity-ladder__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
connectivity-ladder__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
al-o-al-analogue__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
al-o-al-analogue__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
al-o-al-analogue__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
al-o-al-analogue__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
adsorption__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
adsorption__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
adsorption__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
adsorption__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
cation-desorption__ea-minus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
cation-desorption__ea-plus-3,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
cation-desorption__prefactor-x0.1,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
cation-desorption__prefactor-x10,undefined-nonpositive-lattice-release,undefined,undefined,undefined,0,0
