system_id,reaction_id,ligand_class,ref_log,ts_log,product_log,method,basis,energy_treatment,e_ref_hartree,e_ts_hartree,e_product_hartree,barrier_forward_kj_mol,barrier_reverse_kj_mol,reaction_energy_kj_mol,imaginary_frequencies_cm_1,normal_termination,parse_status,notes
c2o4,source-calculation,oxalate,dft/results/c2o4/c2o4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-376.985662000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/c2o4/c2o4.freq.log;dft/results/c2o4/c2o4.log.
c2o4-strained,source-calculation,oxalate,dft/results/c2o4-strained/c2o4-s.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-376.978264000000,,,,,,,true,unmatched,Unmatched source calculation; 1 log(s) parsed: dft/results/c2o4-strained/c2o4-s.freq.log.
h10c4sialo11,source-calculation,succinate,dft/results/h10c4sialo11/sialsu-b3lyp.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-1517.920360000000,,,,,,-61.309,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h10c4sialo11/sialsu-b3lyp.freq.log;dft/results/h10c4sialo11/sialsu-b3lyp.log.
h10c4sialo11+h2o,source-calculation,succinate,dft/results/h10c4sialo11+h2o/sialsuw-b3lyp.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-1594.342625000000,,,,,,-21.167,true,unmatched,Unmatched source calculation; 1 log(s) parsed: dft/results/h10c4sialo11+h2o/sialsuw-b3lyp.freq.log.
h11c4sialo11,source-calculation,succinate,dft/results/h11c4sialo11/sialhsu-b3lyp.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-1518.703901000000,,,,,,-223.934;-154.006,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h11c4sialo11/sialhsu-b3lyp.freq.log;dft/results/h11c4sialo11/sialhsu-b3lyp.log.
h11c4sialo11+h2o,source-calculation,succinate,dft/results/h11c4sialo11+h2o/sialhsuw-b3lyp.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-1595.140119000000,,,,,,-9.288,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h11c4sialo11+h2o/sialhsuw-b3lyp.freq.log;dft/results/h11c4sialo11+h2o/sialhsuw-b3lyp.log.
h2c2o4,source-calculation,oxalate,dft/results/h2c2o4/h2c2o4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-378.262018000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h2c2o4/h2c2o4.freq.log;dft/results/h2c2o4/h2c2o4.log.
h2c3o4,source-calculation,malonate,dft/results/h2c3o4/h2c3o4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-416.302154000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h2c3o4/h2c3o4.freq.log;dft/results/h2c3o4/h2c3o4.log.
h2c3o4-strained,source-calculation,malonate,dft/results/h2c3o4-strained/h2c3o4-s.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-416.283534000000,,,,,,,true,unmatched,Unmatched source calculation; 1 log(s) parsed: dft/results/h2c3o4-strained/h2c3o4-s.freq.log.
h2o,source-calculation,water,dft/results/h2o/h2o.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-76.387600000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h2o/h2o.freq.log;dft/results/h2o/h2o.log.
h3alo3,source-calculation,unliganded,dft/results/h3alo3/h3alo3.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-470.014152000000,,,,,,-164.746;-54.536;-42.532,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h3alo3/h3alo3.freq.log;dft/results/h3alo3/h3alo3.log.
h3c2alo7,source-calculation,oxalate,dft/results/h3c2alo7/h3c2alo7.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-847.170168000000,,,,,,,true,unmatched,Unmatched source calculation; 3 log(s) parsed: dft/results/h3c2alo7/h3c2alo7-2.log;dft/results/h3c2alo7/h3c2alo7.freq.log;dft/results/h3c2alo7/h3c2alo7.log.
h3c3o4,source-calculation,malonate,dft/results/h3c3o4/h3c3o4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-417.015069000000,,,,,,,true,unmatched,Unmatched source calculation; 3 log(s) parsed: dft/results/h3c3o4/h3c3o4-2.log;dft/results/h3c3o4/h3c3o4.freq.log;dft/results/h3c3o4/h3c3o4.log.
h3o,source-calculation,water,dft/results/h3o/h3o.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-76.652646000000,,,,,,-756.437,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h3o/h3o.freq.log;dft/results/h3o/h3o.log.
h3o2,source-calculation,water,dft/results/h3o2/h3o2.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-152.173921000000,,,,,,-163.752,true,unmatched,Unmatched source calculation; 1 log(s) parsed: dft/results/h3o2/h3o2.freq.log.
h4alo4,source-calculation,unliganded,dft/results/h4alo4/h4alo4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-545.917743000000,,,,,,-116.042;-109.039;-67.926,true,unmatched,Unmatched source calculation; 3 log(s) parsed: dft/results/h4alo4/h4alo4-2.log;dft/results/h4alo4/h4alo4.freq.log;dft/results/h4alo4/h4alo4.log.
h4c2alo8,source-calculation,oxalate,dft/results/h4c2alo8/h4c2alo8.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-922.703613000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h4c2alo8/h4c2alo8.freq.log;dft/results/h4c2alo8/h4c2alo8.log.
h4c3o4,source-calculation,malonate,dft/results/h4c3o4/h4c3o4.freq.log,,,B3LYP,6-31g*,electronic+ZPE,-417.561429000000,,,,,,,true,unmatched,Unmatched source calculation; 2 log(s) parsed: dft/results/h4c3o4/h4c3o4.freq.log;dft/results/h4c3o4/h4c3o4.log.
