host,run_id,run_started_utc,temperature_K,delta_mu_si,delta_mu_al,steps,seed,done_sentinel,required_files_present,results_lines,surfAl_lines,surfSi_lines,bytes
hotrox,932951264,1999-07-26T01:07:44+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,31,22,317732
hotrox,932957621,1999-07-26T02:53:41+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,78,53,343197
hotrox,932971367,1999-07-26T06:42:47+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,160,98,356383
hotrox,932997996,1999-07-26T14:06:36+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,329,204,381878
hotrox,933126853,1999-07-28T01:54:13+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,160,98,356383
hotrox,933189176,1999-07-28T19:12:56+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,154,109,367389
hotrox,933221409,1999-07-29T04:10:09+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,181,138,371823
hotrox,933260036,1999-07-29T14:53:56+00:00,5000.0,0.0,0.0,5000000,-2,false,false,3249,,,244234
hotrox,933297368,1999-07-30T01:16:08+00:00,5000.0,0.0,0.0,5000000,-2,false,true,5000,289,191,377963
hotrox,933345948,1999-07-30T14:45:48+00:00,5000.0,0.0,0.0,500000,-2,false,true,500,230,153,66417
hotrox,933351388,1999-07-30T16:16:28+00:00,5000.0,0.0,0.0,1000000,-2,false,true,1000,251,173,101093
hotrox,933361899,1999-07-30T19:11:39+00:00,5000.0,0.0,0.0,2000000,-2,false,true,2000,276,190,171292
hotrox,933383097,1999-07-31T01:04:57+00:00,5000.0,0.0,0.0,3000000,-2,false,true,3000,273,188,239560
hotrox,933414903,1999-07-31T09:55:03+00:00,5000.0,0.0,0.0,4000000,-2,false,true,4000,284,201,310352
hotrox,933461324,1999-07-31T22:48:44+00:00,5000.0,-0.5,-0.5,2000000,-5,false,true,2000,258,183,169934
hotrox,933483813,1999-08-01T05:03:33+00:00,5000.0,-0.5,-0.5,2000000,-77,false,true,2000,259,183,170948
hotrox,933506537,1999-08-01T11:22:17+00:00,5000.0,-0.5,-0.5,2000000,-30,false,true,2000,239,166,168187
hotrox,933528988,1999-08-01T17:36:28+00:00,5000.0,-0.5,-0.5,2000000,-12,false,true,2000,231,162,167823
hotrox,933551670,1999-08-01T23:54:30+00:00,5000.0,-0.5,-0.5,2000000,-8,false,true,2000,264,183,168619
hotrox,933574275,1999-08-02T06:11:15+00:00,5000.0,-0.5,-0.5,2000000,-14,false,true,2000,232,154,167951
hotrox,933596908,1999-08-02T12:28:28+00:00,5000.0,-0.5,-0.5,2000000,-10,false,true,2000,256,179,168170
hotrox,933619444,1999-08-02T18:44:04+00:00,5000.0,-0.5,-0.5,2000000,-40,false,true,2000,237,181,167524
hotrox,933641989,1999-08-03T00:59:49+00:00,5000.0,-0.5,-0.5,2000000,-33,false,true,2000,251,174,169093
hotrox,933664755,1999-08-03T07:19:15+00:00,5000.0,-0.5,-0.5,2000000,-102,false,true,2000,216,158,166963
hotrox,933688530,1999-08-03T13:55:30+00:00,5000.0,0,0,2000000,-5,false,true,2000,258,160,168764
