experiment,fraction_ar39_start,fraction_ar39_end,age_ma,estimated_uncertainty_ma,source_figure,series
500C_isothermal_40h,0.000,0.010,930,30,3b,data
500C_isothermal_40h,0.010,0.025,900,25,3b,data
500C_isothermal_40h,0.025,0.040,875,20,3b,data
500C_isothermal_40h,0.040,0.060,890,20,3b,data
500C_isothermal_40h,0.060,0.090,905,20,3b,data
500C_isothermal_40h,0.090,0.120,885,20,3b,data
500C_isothermal_40h,0.120,0.160,1005,30,3b,data
500C_isothermal_40h,0.160,0.200,960,30,3b,data
500C_isothermal_40h,0.200,0.350,890,20,3b,data
500C_isothermal_40h,0.350,0.650,870,20,3b,data
500C_isothermal_40h,0.650,0.850,890,20,3b,data
500C_isothermal_40h,0.850,0.920,860,25,3b,data
500C_isothermal_40h,0.920,1.000,890,30,3b,data
700C_isothermal_64h,0.000,0.010,980,35,3c,data
700C_isothermal_64h,0.010,0.020,900,30,3c,data
700C_isothermal_64h,0.020,0.030,850,30,3c,data
700C_isothermal_64h,0.030,0.080,880,20,3c,data
700C_isothermal_64h,0.080,0.200,900,20,3c,data
700C_isothermal_64h,0.200,0.600,885,15,3c,data
700C_isothermal_64h,0.600,0.850,900,20,3c,data
700C_isothermal_64h,0.850,0.930,880,20,3c,data
700C_isothermal_64h,0.930,1.000,850,25,3c,data
hydrothermal_700C_2kbar_45d,0.000,0.015,400,25,3d,data
hydrothermal_700C_2kbar_45d,0.015,0.035,620,25,3d,data
hydrothermal_700C_2kbar_45d,0.035,0.080,700,20,3d,data
hydrothermal_700C_2kbar_45d,0.080,0.120,760,20,3d,data
hydrothermal_700C_2kbar_45d,0.120,0.200,830,20,3d,data
hydrothermal_700C_2kbar_45d,0.200,0.350,815,20,3d,data
hydrothermal_700C_2kbar_45d,0.350,0.650,880,20,3d,data
hydrothermal_700C_2kbar_45d,0.650,0.850,900,20,3d,data
hydrothermal_700C_2kbar_45d,0.850,0.930,890,20,3d,data
hydrothermal_700C_2kbar_45d,0.930,1.000,860,25,3d,data
500C_isothermal_old_steps,0.0000,0.0007,770,20,5a,data
500C_isothermal_old_steps,0.0007,0.0017,910,25,5a,data
500C_isothermal_old_steps,0.0017,0.0026,880,25,5a,data
500C_isothermal_old_steps,0.0026,0.0033,855,25,5a,data
500C_isothermal_old_steps,0.0033,0.0040,875,25,5a,data
500C_isothermal_old_steps,0.0040,0.0051,1015,30,5a,data
500C_isothermal_old_steps,0.0051,0.0063,985,30,5a,data
500C_isothermal_old_steps,0.0063,0.0075,1035,30,5a,data
500C_isothermal_old_steps,0.0075,0.0088,1015,30,5a,data
500C_isothermal_old_steps,0.0088,0.0096,1030,30,5a,data
500C_isothermal_old_steps,0.0096,0.0150,930,25,5a,data
700C_isothermal_old_steps,0.000,0.012,1050,30,5b,data
700C_isothermal_old_steps,0.012,0.025,930,25,5b,data
700C_isothermal_old_steps,0.025,0.040,1005,25,5b,data
700C_isothermal_old_steps,0.040,0.060,880,20,5b,data
700C_isothermal_old_steps,0.060,0.090,890,20,5b,data
700C_isothermal_old_steps,0.090,0.120,900,20,5b,data
700C_isothermal_old_steps,0.120,0.140,885,20,5b,data
700C_isothermal_old_steps,0.140,0.155,990,25,5b,data
700C_isothermal_old_steps,0.155,0.175,965,20,5b,data
700C_isothermal_old_steps,0.175,0.195,955,20,5b,data
700C_isothermal_old_steps,0.195,0.200,825,30,5b,data
