experiment,grain_size_um,temperature_c,release_rate_x1e6_per_c,estimated_uncertainty_x1e6_per_c,source_figure,series
500C_isothermal_large,3000,500,0.00,0.10,4a,40Ar_star_data
500C_isothermal_large,3000,600,0.02,0.10,4a,40Ar_star_data
500C_isothermal_large,3000,700,0.18,0.15,4a,40Ar_star_data
500C_isothermal_large,3000,750,0.65,0.20,4a,40Ar_star_data
500C_isothermal_large,3000,800,2.05,0.25,4a,40Ar_star_data
500C_isothermal_large,3000,850,1.05,0.20,4a,40Ar_star_data
500C_isothermal_large,3000,900,1.20,0.20,4a,40Ar_star_data
500C_isothermal_large,3000,950,1.45,0.20,4a,40Ar_star_data
500C_isothermal_large,3000,1000,2.80,0.25,4a,40Ar_star_data
500C_isothermal_large,3000,1025,3.05,0.25,4a,40Ar_star_data
500C_isothermal_large,3000,1075,0.20,0.15,4a,40Ar_star_data
500C_isothermal_large,3000,1125,0.02,0.10,4a,40Ar_star_data
500C_isothermal_large,3000,1200,0.00,0.10,4a,40Ar_star_data
500C_isothermal_medium,165,500,0.00,0.10,4b,40Ar_star_data
500C_isothermal_medium,165,600,0.08,0.10,4b,40Ar_star_data
500C_isothermal_medium,165,650,0.45,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,700,0.75,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,725,1.75,0.20,4b,40Ar_star_data
500C_isothermal_medium,165,775,1.95,0.20,4b,40Ar_star_data
500C_isothermal_medium,165,800,2.90,0.25,4b,40Ar_star_data
500C_isothermal_medium,165,825,1.75,0.20,4b,40Ar_star_data
500C_isothermal_medium,165,850,1.05,0.20,4b,40Ar_star_data
500C_isothermal_medium,165,900,0.80,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,950,0.45,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,1000,0.60,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,1050,0.30,0.15,4b,40Ar_star_data
500C_isothermal_medium,165,1100,0.02,0.10,4b,40Ar_star_data
500C_isothermal_medium,165,1200,0.00,0.10,4b,40Ar_star_data
500C_isothermal_small,58,500,0.00,0.10,4c,40Ar_star_data
500C_isothermal_small,58,550,0.18,0.10,4c,40Ar_star_data
500C_isothermal_small,58,600,0.45,0.15,4c,40Ar_star_data
500C_isothermal_small,58,650,0.90,0.15,4c,40Ar_star_data
500C_isothermal_small,58,700,1.80,0.20,4c,40Ar_star_data
500C_isothermal_small,58,750,1.50,0.20,4c,40Ar_star_data
500C_isothermal_small,58,800,1.20,0.20,4c,40Ar_star_data
500C_isothermal_small,58,850,0.80,0.15,4c,40Ar_star_data
500C_isothermal_small,58,900,0.30,0.15,4c,40Ar_star_data
500C_isothermal_small,58,950,0.02,0.10,4c,40Ar_star_data
500C_isothermal_small,58,1000,0.00,0.10,4c,40Ar_star_data
500C_isothermal_small,58,1100,0.00,0.10,4c,40Ar_star_data
500C_isothermal_small,58,1200,0.00,0.10,4c,40Ar_star_data
700C_isothermal_large,3000,500,0.00,0.10,4d,40Ar_star_data
700C_isothermal_large,3000,700,0.02,0.10,4d,40Ar_star_data
700C_isothermal_large,3000,775,0.15,0.10,4d,40Ar_star_data
700C_isothermal_large,3000,825,0.55,0.15,4d,40Ar_star_data
700C_isothermal_large,3000,850,1.30,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,875,1.80,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,925,1.75,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,975,1.95,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,1025,1.70,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,1075,1.00,0.20,4d,40Ar_star_data
700C_isothermal_large,3000,1125,0.10,0.10,4d,40Ar_star_data
700C_isothermal_large,3000,1200,0.00,0.10,4d,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,500,0.00,0.10,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,600,0.00,0.10,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,650,0.25,0.10,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,700,0.40,0.15,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,750,0.60,0.15,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,800,1.15,0.20,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,850,1.60,0.20,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,900,3.45,0.30,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,950,2.05,0.25,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,1000,0.80,0.20,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,1050,0.50,0.15,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,1100,0.40,0.15,4e,40Ar_star_data
hydrothermal_700C_2kbar_large,3000,1150,0.00,0.10,4e,40Ar_star_data
