figure,experiment,grain_size_um,temperature_c,sqrt_time_min_half,cumulative_fraction,log10_da2_per_s,log10_da2_ratio_36_40,estimated_x_uncertainty,estimated_y_uncertainty,source_note
6,500C-3000-Ar40,3000,500,2,0.0008,,,1.0,0.0005,"Sletten & Onstott 1998 Fig. 6a; author-hosted article-image digitization"
6,500C-3000-Ar40,3000,500,5,0.0018,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,10,0.0030,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,15,0.0037,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,20,0.0046,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,25,0.0059,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,33,0.0075,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,40,0.0090,,,1.0,0.0005,"Fig. 6a"
6,500C-3000-Ar40,3000,500,50,0.0103,,,1.0,0.0005,"Fig. 6a; labelled mean D/a2 = 5.0e-10 s-1"
6,500C-3000-cylinder,3000,500,3,,-9.82,,1.0,0.12,"Fig. 6b; Hames-Bowring cylinder branch"
6,500C-3000-cylinder,3000,500,5,,-8.98,,1.0,0.12,"Fig. 6b"
6,500C-3000-cylinder,3000,500,10,,-9.58,,1.0,0.12,"Fig. 6b"
6,500C-3000-cylinder,3000,500,20,,-9.67,,1.0,0.12,"Fig. 6b"
6,500C-3000-cylinder,3000,500,30,,-9.60,,1.0,0.12,"Fig. 6b"
6,500C-3000-cylinder,3000,500,40,,-9.32,,1.0,0.12,"Fig. 6b"
6,500C-3000-cylinder,3000,500,50,,-9.53,,1.0,0.12,"Fig. 6b"
7,700C-3000-Ar40,3000,700,2,0.015,,,1.0,0.005,"Sletten & Onstott 1998 Fig. 7a"
7,700C-3000-Ar40,3000,700,5,0.038,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,10,0.070,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,15,0.090,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,20,0.105,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,30,0.120,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,40,0.145,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,50,0.180,,,1.0,0.005,"Fig. 7a"
7,700C-3000-Ar40,3000,700,60,0.210,,,1.0,0.005,"Fig. 7a; labelled mean D/a2 = 4.0e-8 s-1"
7,700C-3000-cylinder,3000,700,2,,-6.35,,1.0,0.12,"Fig. 7b; Hames-Bowring cylinder branch"
7,700C-3000-cylinder,3000,700,5,,-7.00,,1.0,0.12,"Fig. 7b"
7,700C-3000-cylinder,3000,700,10,,-6.95,,1.0,0.12,"Fig. 7b"
7,700C-3000-cylinder,3000,700,20,,-7.35,,1.0,0.12,"Fig. 7b"
7,700C-3000-cylinder,3000,700,30,,-7.63,,1.0,0.12,"Fig. 7b"
7,700C-3000-cylinder,3000,700,40,,-7.48,,1.0,0.12,"Fig. 7b"
7,700C-3000-cylinder,3000,700,60,,-7.55,,1.0,0.12,"Fig. 7b"
8,500C-dehydroxylation,3000,500,5,,-4.55,,1.0,0.12,"Sletten & Onstott 1998 Fig. 8; Kodama-Brydon/Vedder-Wilkins comparison"
8,500C-dehydroxylation,3000,500,10,,-4.80,,1.0,0.12,"Fig. 8"
8,500C-dehydroxylation,3000,500,20,,-5.15,,1.0,0.12,"Fig. 8"
8,500C-dehydroxylation,3000,500,30,,-5.55,,1.0,0.12,"Fig. 8"
8,500C-BMM-argon-loss,3000,500,2,,-6.35,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,5,,-6.45,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,10,,-6.43,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,20,,-6.70,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,30,,-6.88,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,40,,-6.98,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
8,500C-BMM-argon-loss,3000,500,60,,-7.02,,1.0,0.12,"Fig. 8; long BMM Ar-loss trace"
9,500C-150-180-Ar40,165,500,2,0.012,,,1.0,0.004,"Sletten & Onstott 1998 Fig. 9a"
9,500C-150-180-Ar40,165,500,5,0.025,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,10,0.043,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,20,0.063,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,30,0.075,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,40,0.087,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,50,0.096,,,1.0,0.004,"Fig. 9a"
9,500C-150-180-Ar40,165,500,60,0.103,,,1.0,0.004,"Fig. 9a; labelled mean D/a2 = 3.7e-9 s-1"
9,500C-150-180-cylinder,165,500,3,,-6.70,,1.0,0.12,"Fig. 9b"
9,500C-150-180-cylinder,165,500,5,,-7.35,,1.0,0.12,"Fig. 9b"
9,500C-150-180-cylinder,165,500,10,,-7.30,,1.0,0.12,"Fig. 9b"
9,500C-150-180-cylinder,165,500,20,,-7.70,,1.0,0.12,"Fig. 9b"
9,500C-150-180-cylinder,165,500,40,,-8.08,,1.0,0.12,"Fig. 9b"
9,500C-150-180-cylinder,165,500,60,,-8.25,,1.0,0.12,"Fig. 9b"
10,500C-52-64-Ar40,58,500,2,0.030,,,1.0,0.006,"Sletten & Onstott 1998 Fig. 10a"
10,500C-52-64-Ar40,58,500,5,0.080,,,1.0,0.006,"Fig. 10a"
10,500C-52-64-Ar40,58,500,10,0.160,,,1.0,0.006,"Fig. 10a"
10,500C-52-64-Ar40,58,500,20,0.240,,,1.0,0.006,"Fig. 10a"
